object_id,I1,I2,I3
x0001,A_s0001,B_s0001,C_s0001
x0002,A_s0002,B_s0002,C_s0002
x0003,A_s0003,B_s0003,C_s0003
x0004,A_s0004,B_s0004,C_s0004
x0005,A_s0005,B_s0005,C_s0005
x0006,A_s0006,B_s0006,C_s0006
x0007,A_s0007,B_s0007,C_s0007
x0008,A_s0008,B_s0008,C_s0008
x0009,A_s0009,B_s0009,C_s0009
x0010,A_s0010,B_s0010,C_s0010
x0011,A_s0011,B_s0011,C_s0011
x0012,A_s0012,B_s0012,C_s0012
x0013,A_s0013,B_s0013,C_s0013
x0014,A_s0014,B_s0014,C_s0014
x0015,A_s0015,B_s0015,C_s0015
x0016,A_s0016,B_s0016,C_s0016
x0017,A_s0017,B_s0017,C_s0017
x0018,A_s0018,B_s0018,C_s0018
x0019,A_s0019,B_s0019,C_s0019
x0020,A_s0020,B_s0020,C_s0020
x0021,A_s0021,B_s0021,C_s0021
x0022,A_s0022,B_s0022,C_s0022
x0023,A_s0023,B_s0023,C_s0023
x0024,A_s0024,B_s0024,C_s0024
x0025,A_s0025,B_s0025,C_s0025
x0026,A_s0026,B_s0026,C_s0026
x0027,A_s0027,B_s0027,C_s0027
x0028,A_s0028,B_s0028,C_s0028
x0029,A_s0029,B_s0029,C_s0029
x0030,A_s0030,B_s0030,C_s0030
x0031,A_s0031,B_s0031,C_s0031
x0032,A_s0032,B_s0032,C_s0032
x0033,A_s0033,B_s0033,C_s0033
x0034,A_s0034,B_s0034,C_s0034
x0035,A_s0035,B_s0035,C_s0035
x0036,A_s0036,B_s0036,C_s0036
x0037,A_s0037,B_s0037,C_s0037
x0038,A_s0038,B_s0038,C_s0038
x0039,A_s0039,B_s0039,C_s0039
x0040,A_s0040,B_s0040,C_s0040
x0041,A_s0041,B_s0041,C_s0041
x0042,A_s0042,B_s0042,C_s0042
x0043,A_s0043,B_s0043,C_s0043
x0044,A_s0044,B_s0044,C_s0044
x0045,A_s0045,B_s0045,C_s0045
x0046,A_s0046,B_s0046,C_s0046
x0047,A_s0047,B_s0047,C_s0047
x0048,A_s0048,B_s0048,C_s0048
x0049,A_s0049,B_s0049,C_s0049
x0050,A_s0050,B_s0050,C_s0050
x0051,A_s0051,B_s0051,C_s0051
x0052,A_s0052,B_s0052,C_s0052
x0053,A_s0053,B_s0053,C_s0053
x0054,A_s0054,B_s0054,C_s0054
x0055,A_s0055,B_s0055,C_s0055
x0056,A_s0056,B_s0056,C_s0056
x0057,A_s0057,B_s0057,C_s0057
x0058,A_s0058,B_s0058,C_s0058
x0059,A_s0059,B_s0059,C_s0059
x0060,A_s0060,B_s0060,C_s0060
x0061,A_s0061,B_s0061,C_s0061
x0062,A_s0062,B_s0062,C_s0062
x0063,A_s0063,B_s0063,C_s0063
x0064,A_s0064,B_s0064,C_s0064
x0065,A_s0065,B_s0065,C_s0065
x0066,A_s0066,B_s0066,C_s0066
x0067,A_s0067,B_s0067,C_s0067
x0068,A_s0068,B_s0068,C_s0068
x0069,A_s0069,B_s0069,C_s0069
x0070,A_s0070,B_s0070,C_s0070
x0071,A_s0071,B_s0071,C_s0071
x0072,A_s0072,B_s0072,C_s0072
x0073,A_s0073,B_s0073,C_s0073
x0074,A_s0074,B_s0074,C_s0074
x0075,A_s0075,B_s0075,C_s0075
x0076,A_s0076,B_s0076,C_s0076
x0077,A_s0077,B_s0077,C_s0077
x0078,A_s0078,B_s0078,C_s0078
x0079,A_s0079,B_s0079,C_s0079
x0080,A_s0080,B_s0080,C_s0080
x0081,A_s0081,B_s0081,C_s0081
x0082,A_s0082,B_s0082,C_s0082
x0083,A_s0083,B_s0083,C_s0083
x0084,A_s0084,B_s0084,C_s0084
x0085,A_s0085,B_s0085,C_s0085
x0086,A_s0086,B_s0086,C_s0086
x0087,A_s0087,B_s0087,C_s0087
x0088,A_s0088,B_s0088,C_s0088
x0089,A_s0089,B_s0089,C_s0089
x0090,A_s0090,B_s0090,C_s0090
x0091,A_s0091,B_s0091,C_s0091
x0092,A_s0092,B_s0092,C_s0092
x0093,A_s0093,B_s0093,C_s0093
x0094,A_s0094,B_s0094,C_s0094
x0095,A_s0095,B_s0095,C_s0095
x0096,A_s0096,B_s0096,C_s0096
x0097,A_s0097,B_s0097,C_s0097
x0098,A_s0098,B_s0098,C_s0098
x0099,A_s0099,B_s0099,C_s0099
x0100,A_s0100,B_s0100,C_s0100
x0101,A_s0101,B_s0101,C_s0101
x0102,A_s0102,B_s0102,C_s0102
x0103,A_s0103,B_s0103,C_s0103
x0104,A_s0104,B_s0104,C_s0104
x0105,A_s0105,B_s0105,C_s0105
x0106,A_s0106,B_s0106,C_s0106
x0107,A_s0107,B_s0107,C_s0107
x0108,A_s0108,B_s0108,C_s0108
x0109,A_s0109,B_s0109,C_s0109
x0110,A_s0110,B_s0110,C_s0110
x0111,A_s0111,B_s0111,C_s0111
x0112,A_s0112,B_s0112,C_s0112
x0113,A_s0113,B_s0113,C_s0113
x0114,A_s0114,B_s0114,C_s0114
x0115,A_s0115,B_s0115,C_s0115
x0116,A_s0116,B_s0116,C_s0116
x0117,A_s0117,B_s0117,C_s0117
x0118,A_s0118,B_s0118,C_s0118
x0119,A_s0119,B_s0119,C_s0119
x0120,A_s0120,B_s0120,C_s0120
x0121,A_s0121,B_s0121,C_s0121
x0122,A_s0122,B_s0122,C_s0122
x0123,A_s0123,B_s0123,C_s0123
x0124,A_s0124,B_s0124,C_s0124
x0125,A_s0125,B_s0125,C_s0125
x0126,A_s0126,B_s0126,C_s0126
x0127,A_s0127,B_s0127,C_s0127
x0128,A_s0128,B_s0128,C_s0128
x0129,A_s0129,B_s0129,C_s0129
x0130,A_s0130,B_s0130,C_s0130
x0131,A_s0131,B_s0131,C_s0131
x0132,A_s0132,B_s0132,C_s0132
x0133,A_s0133,B_s0133,C_s0133
x0134,A_s0134,B_s0134,C_s0134
x0135,A_s0135,B_s0135,C_s0135
x0136,A_s0136,B_s0136,C_s0136
x0137,A_s0137,B_s0137,C_s0137
x0138,A_s0138,B_s0138,C_s0138
x0139,A_s0139,B_s0139,C_s0139
x0140,A_s0140,B_s0140,C_s0140
x0141,A_s0141,B_s0141,C_s0141
x0142,A_s0142,B_s0142,C_s0142
x0143,A_s0143,B_s0143,C_s0143
x0144,A_s0144,B_s0144,C_s0144
x0145,A_s0145,B_s0145,C_s0145
x0146,A_s0146,B_s0146,C_s0146
x0147,A_s0147,B_s0147,C_s0147
x0148,A_s0148,B_s0148,C_s0148
x0149,A_s0149,B_s0149,C_s0149
x0150,A_s0150,B_s0150,C_s0150
