M,p_no_collision_A,p_collision_A,p_no_collision_B,p_collision_B
0,1,0,1,0
1,1,0,1,0
2,0.98988988988989,0.0101101101101101,0.998998998998999,0.001001001001001
3,0.971675483098329,0.0283245169016712,0.996996996996997,0.003003003003003
4,0.947066851254565,0.0529331487454353,0.993997006033114,0.00600299396688564
5,0.917516727072695,0.0824832729273046,0.990005050185592,0.00999494981440819
6,0.8842542757323,0.1157457242677,0.985030150435915,0.0149698495640845
7,0.848314765933925,0.151685234066075,0.979084294397067,0.0209157056029331
8,0.810565613144695,0.189434386855305,0.972182391012596,0.0278176089874039
9,0.771729215171443,0.228270784828557,0.964342210439914,0.0356577895600861
10,0.73240295344979,0.26759704655021,0.955584309436928,0.0444156905630722
11,0.693076691728138,0.306923308271862,0.945931942674939,0.0540680573250614
12,0.654148066626522,0.345851933373478,0.935410960501608,0.0645890394983923
13,0.615935831386916,0.384064168613084,0.924049693774867,0.0759503062251325
14,0.578691484577898,0.421308515422102,0.911878826480974,0.0881211735190264
15,0.5426093891906,0.4573906108094,0.898931256936619,0.101068743063381
16,0.507835564121913,0.492164435878087,0.885241948455351,0.114758051544649
17,0.474475309177969,0.525524690822031,0.870847770431686,0.129152229568314
18,0.442599806170747,0.557400193829253,0.855787330861657,0.144212669138343
19,0.412251822176691,0.587748177823309,0.840100801375395,0.159899198624605
20,0.383450626357662,0.616549373642338,0.823829735905331,0.176170264094669
21,0.356196218713662,0.643803781286338,0.807016884152161,0.192983115847839
22,0.330472957566516,0.669527042433483,0.789706001039602,0.210293998960398
23,0.306252662305853,0.693747337694147,0.771941653367954,0.228058346632046
24,0.283497258821446,0.716502741178554,0.753769024885393,0.246230975114607
25,0.262161026972738,0.737838973027262,0.735233720994768,0.264766279005232
26,0.242192502293819,0.757807497706181,0.716381574302595,0.283618425697405
27,0.223536077799141,0.776463922200859,0.697258452195955,0.302741547804046
28,0.206133346151366,0.793866653848634,0.677910067602644,0.322089932397356
29,0.189924217497266,0.810075782502734,0.658381794050305,0.341618205949695
30,0.17484784389844,0.82515215610156,0.638718486092057,0.361281513907943
31,0.160843377416487,0.839156622583513,0.618964306109828,0.381035693890172
32,0.147850585499794,0.852149414500206,0.599162558442744,0.400837441557256
33,0.135810344310131,0.864189655689869,0.579355531717364,0.420644468282636
34,0.124665027976215,0.875334972023785,0.559584350179956,0.440415649820044
35,0.114358809427649,0.885641190572351,0.539888834749192,0.460111165250808
36,0.104837886410063,0.895162113589937,0.520307374421501,0.479692625578499
37,0.0960506444785967,0.903949355521403,0.500876808571735,0.499123191428265
38,0.0879477671835379,0.912052232816462,0.481632320599613,0.518367679400387
39,0.0804823022733238,0.919517697726676,0.46260734327863,0.53739265672137
40,0.0736096915237873,0.926390308476213,0.443833476069612,0.556166523930388
41,0.0672877707381559,0.932712229261844,0.425340414566711,0.574659585433289
42,0.0614767455321767,0.938523254467823,0.407155892150408,0.592844107849592
43,0.0561391477068974,0.943860852293103,0.389305633830661,0.610694366169339
44,0.0512397763040549,0.948760223695945,0.371813322174738,0.628186677825262
45,0.0467456268232145,0.953254373176786,0.354700575129039,0.645299424870961
46,0.0426258115447288,0.957374188455271,0.337986935463273,0.662013064536727
47,0.0388514734384431,0.961148526561557,0.321689871489153,0.678310128510847
48,0.0353956957362191,0.964604304263781,0.305824788635018,0.694175211364982
49,0.0322334088991044,0.967766591100896,0.290405051392916,0.709594948607084
50,0.0293412964105866,0.970658703589413,0.27544201509612,0.72455798490388
51,0.0266977005698469,0.973302299430153,0.260945066933167,0.739054933066833
52,0.0242825292380014,0.975717470761999,0.246921675559519,0.753078324440481
53,0.0220771643013274,0.977922835698673,0.233377448630094,0.766622551369906
54,0.0200643724543232,0.979935627545677,0.2203161975452,0.7796838024548
55,0.0182282187685304,0.98177178123147,0.207740008678983,0.792259991321017
56,0.0165539833971814,0.983446016602819,0.195649320343169,0.804350679656831
57,0.0150280816681322,0.984971918331868,0.184043004729592,0.815956995270408
58,0.0136379877357527,0.986362012264247,0.172918454072554,0.827081545927446
59,0.0123721618943223,0.987627838105678,0.162271670276154,0.837728329723846
60,0.0112199815991378,0.988780018400862,0.152097357262028,0.847902642737972
61,0.010171676195333,0.989828323804667,0.142389015309132,0.857610984690868
62,0.00921826531689934,0.990781734683101,0.133139036678827,0.866860963321173
63,0.00835150088832155,0.991648499111678,0.124338801845045,0.875661198154955
64,0.00756381263751534,0.992436187362485,0.115978775680437,0.884021224319563
65,0.00684825701040934,0.993151742989591,0.108048602984339,0.891951397015661
